0	0.051
0.004	0.05
0.008	0.05
0.012	0.054
0.016	0.057
0.02	0.061
0.024	0.062
0.028	0.061
0.032	0.061
0.036	0.061
0.04	0.061
0.044	0.062
0.048	0.049
0.052	0.145
0.056	0.05
0.06	0.125
0.064	0.125
0.068	0.125
0.072	0.125
0.076	0.125
0.08	0.125
0.084	0.141
0.088	0.062
0.092	0.061
0.096	0.061
0.1	0.061
0.104	0.062
0.108	0.062
0.112	0.062
0.116	0.049
0.12	0.129
0.124	0.125
0.128	0.125
0.132	0.125
0.136	0.141
0.14	0.05
0.144	0.125
0.148	0.125
0.152	0.125
0.156	0.125
0.16	0.125
0.164	0.141
0.168	0.05
0.172	0.141
0.176	0.049
0.18	0.125
0.184	0.125
0.188	0.124
0.192	0.128
0.196	0.125
0.2	0.125
0.204	0.125
0.208	0.124
0.212	0.125
0.216	0.124
0.22	0.129
0.224	0.125
0.228	0.125
0.232	0.128
0.236	0.128
0.24	0.128
0.244	0.128
0.248	0.129
0.252	0.128
0.256	0.129
0.26	0.128
0.264	0.127
0.268	0.131
0.272	0.132
0.276	0.132
0.28	0.128
0.284	0.129
0.288	0.125
0.292	0.126
0.296	0.121
0.3	0.121
0.304	0.121
0.308	0.121
0.312	0.125
0.316	0.127
0.32	0.135
0.324	0.134
0.328	0.138
0.332	0.139
0.336	0.139
0.34	0.14
0.344	0.136
0.348	0.132
0.352	0.133
0.356	0.129
0.36	0.125
0.364	0.124
0.368	0.129
0.372	0.134
0.376	0.119
0.38	0.062
0.384	0.058
0.388	0.058
0.392	0.057
0.396	0.049
0.4	0.137
0.404	0.045
0.408	0.151
0.412	0.041
0.416	0.161
0.42	0.147
0.424	0.044
0.428	0.032
0.432	0.108
0.436	0.12
0.44	0.046
0.444	0.178
0.448	0.019
0.452	0.009
0.456	6.41E-04
0.46	-0.001
0.464	-0.003
0.468	-0.004
0.472	-0.004
0.476	-0.003
0.48	-0.002
0.484	-0.001
0.488	-0.01
0.492	0.121
0.496	0.165
0.5	0.063
0.504	0.034
0.508	0.026
0.512	0.014
0.516	0.178
0.52	0.052
0.524	0.024
0.528	0.187
0.532	0.042
0.536	0.147
0.54	0.127
0.544	0.132
0.548	0.132
0.552	0.13
0.556	0.124
0.56	0.129
0.564	0.128
0.568	0.132
0.572	0.146
0.576	0.062
0.58	0.061
0.584	0.062
0.588	0.049
0.592	0.128
0.596	0.146
0.6	0.057
0.604	0.05
0.608	0.141
0.612	0.062
0.616	0.058
0.62	0.058
0.624	0.058
0.628	0.058
0.632	0.062
0.636	0.058
0.64	0.046
0.644	0.122
0.648	0.121
0.652	0.121
0.656	0.12
0.66	0.124
0.664	0.125
0.668	0.124
0.672	0.126
0.676	0.122
0.68	0.12
0.684	0.105
0.688	0.121
0.692	0.121
0.696	0.121
0.7	0.12
0.704	0.122
0.708	0.12
0.712	0.125
0.716	0.125
0.72	0.125
0.724	0.13
0.728	0.105
0.732	0.104
0.736	0.104
0.74	0.105
0.744	0.1
0.748	0.104
0.752	0.104
0.756	0.103
0.76	0.108
0.764	0.105
0.768	0.121
0.772	0.121
0.776	0.125
0.78	0.104
0.784	0.105
0.788	0.1
0.792	0.11
0.796	0.053
0.8	0.114
0.804	0.053
0.808	0.1
0.812	0.12
0.816	0.128
0.82	0.129
0.824	0.13
0.828	0.125
0.832	0.108
0.836	0.108
0.84	0.119
0.844	0.065
0.848	0.062
0.852	0.058
0.856	0.058
0.86	0.062
0.864	0.058
0.868	0.058
0.872	0.053
0.876	0.062
0.88	0.058
0.884	0.058
0.888	0.055
0.892	0.05
0.896	0.054
0.9	0.055
0.904	0.054
0.908	0.049
0.912	0.1
0.916	0.125
0.92	0.125
0.924	0.124
0.928	0.129
0.932	0.128
0.936	0.128
0.94	0.13
0.944	0.125
0.948	0.124
0.952	0.129
0.956	0.141
0.96	0.061
0.964	0.049
0.968	0.141
0.972	0.049
